WORD,age_of_acquisition,concreteness,familiarity,imageability
a,0,201,632,217
abandon,0,0,510,395
abandonment,544,272,359,348
abasement,0,275,226,262
abatement,644,250,294,189
abbess,0,401,187,318
abdication,0,275,284,326
abdomen,556,586,426,548
abduction,0,337,413,463
aberration,0,330,208,285
abhor,0,320,360,335
ability,453,273,563,327
able,0,302,575,284
abode,553,498,334,458
abominable,0,0,358,387
aboriginal,0,335,295,389
about,0,227,593,225
above,0,0,607,346
abridgement,644,285,303,240
abrupt,0,266,486,362
abscess,533,538,392,491
absolute,0,0,495,268
absolution,608,241,372,256
abstraction,0,0,368,0
abstruse,0,0,136,225
abundance,519,267,448,386
abundant,0,351,524,443
abuse,0,0,450,0
abyss,597,450,293,453
academy,0,499,509,504
acceleration,536,358,499,486
acceptable,0,0,521,288
accident,329,419,564,518
accomplice,0,395,446,391
accord,0,299,418,248
accordance,544,270,431,237
accordion,0,586,394,576
account,0,365,523,361
accumulation,539,285,451,354
accurate,0,0,566,305
accuser,511,424,363,343
ache,0,443,523,443
acidity,622,384,399,432
acknowledge,0,290,503,316
acorn,0,0,397,0
acre,411,462,427,464
acrobat,0,566,431,583
act,319,379,566,433
active,0,0,552,436
actual,0,0,589,259
acumen,0,272,149,229
adage,0,373,160,324
adder,356,615,361,583
addition,314,339,535,347
additional,0,0,489,303
adequate,0,0,485,268
adherence,603,265,375,326
adjective,0,316,515,394
adjournment,606,311,327,305
administration,561,331,502,413
admiral,0,528,436,543
admire,0,296,531,390
admission,458,305,482,389
admonish,0,269,341,302
adolescence,597,267,444,467
adorn,0,339,441,370
adult,0,492,590,526
adultery,583,311,456,494
advantage,0,282,562,292
adventurer,406,462,402,497
adverb,0,352,473,315
adversity,0,314,360,326
advice,425,291,566,352
adze,0,283,138,256
aerial,428,517,481,567
affable,0,0,266,315
affair,0,0,531,361
affection,467,280,513,484
affectionate,0,0,507,471
affirm,0,0,444,281
affirmation,583,242,332,313
affright,656,229,219,232
afraid,0,336,575,451
after,0,242,575,217
afternoon,281,406,655,513
against,0,0,600,285
age,258,390,582,468
agency,553,426,420,366
aggress,0,271,351,270
aggressive,0,0,500,417
aggressor,589,439,359,383
agile,0,356,432,454
agility,0,327,397,464
agony,461,348,509,491
agreement,0,327,541,367
ague,661,365,196,224
ah,0,253,519,330
aid,0,372,536,413
ail,0,385,370,391
aim,344,324,549,383
air,0,518,608,450
airship,406,585,332,545
airy,0,334,423,368
aisle,0,509,503,528
alacrity,678,269,245,189
albatross,528,621,309,583
albumin,0,415,217,352
alchemist,664,462,262,394
alcohol,0,618,578,598
ale,0,578,454,526
alert,0,400,528,428
algae,631,545,317,424
algebra,0,453,483,510
alias,561,232,384,294
alien,0,399,479,470
alimony,0,454,415,456
alive,0,0,593,426
alkali,633,437,391,432
all,0,267,582,332
allegation,631,272,383,291
allege,0,0,279,281
allegory,650,283,314,244
alley,0,557,526,572
alligator,0,624,442,627
allophone,0,0,74,0
allotment,486,502,420,470
allow,0,268,504,373
ally,446,485,410,453
alone,0,390,562,480
alphabet,244,449,493,499
also,0,194,552,264
alter,0,430,503,413
alternative,0,0,518,268
although,0,218,573,208
altitude,534,373,420,472
aluminium,514,600,453,505
always,0,249,600,280
am,0,259,603,247
amateur,522,388,502,397
amazement,0,277,495,456
ambassador,0,546,477,545
ambition,483,281,517,346
ambitious,0,0,540,404
ambulance,0,595,499,627
ambush,0,0,436,0
amendment,597,326,403,305
amethyst,567,573,285,510
amity,656,278,200,205
ammonia,0,563,524,536
