,group_id,please,please_start,has_hedge,indirect_(btw),hedges,factuality,deference,gratitude,apologizing,1st_person_plural,1st_person,1st_person_start,2nd_person,2nd_person_start,indirect_(greeting),direct_question,direct_start,has_positive,has_negative,subjunctive,indicative,age_of_acquisition,concreteness,familiarity,imageability,article,auxiliary_verb,conjunction,adverb,personal_pronoun,impersonal_pronoun,preposition,quantifier
0,1.Pink.1,0.0,0.0,0.09,0.0,0.05,0.02,0.0,0.0,0.0,0.06,0.23,0.01,0.15,0.0,0.0,0.01,0.01,0.17,0.06,0.01,0.0,45.07,231.46,445.41,249.47,0.16,0.02,0.05,0.08,0.02,0.07,-0.03,0.02
0,10.Orange.1,0.0,0.0,0.12,0.0,0.12,0.03,0.0,0.0,0.0,0.09,0.3,0.02,0.08,0.0,0.0,0.01,0.01,0.21,0.06,0.0,0.0,70.54,251.06,497.54,273.77,-0.01,-0.02,-0.08,-0.08,-0.08,-0.04,-0.04,0.22
0,11.Pink.1,0.0,0.0,0.25,0.0,0.16,0.01,0.0,0.0,0.0,0.11,0.24,0.01,0.16,0.0,0.0,0.04,0.01,0.3,0.12,0.0,0.0,74.5,237.44,480.62,258.58,0.02,0.02,-0.03,-0.05,-0.02,-0.03,-0.04,-0.02
0,12.Blue.1,0.0,0.0,0.18,0.0,0.08,0.03,0.0,0.0,0.0,0.02,0.29,0.0,0.08,0.0,0.0,0.02,0.01,0.27,0.13,0.0,0.0,65.04,207.72,407.2,222.1,0.0,0.03,-0.09,-0.15,-0.04,0.04,-0.03,-0.01
0,13.Yellow.1,0.0,0.0,0.1,0.0,0.02,0.0,0.0,0.0,0.0,0.11,0.1,0.0,0.06,0.0,0.0,0.02,0.0,0.11,0.06,0.0,0.0,43.47,213.91,392.34,235.68,0.08,-0.04,-0.02,-0.08,0.02,0.24,0.08,-0.0
0,14.Red.1,0.0,0.0,0.21,0.0,0.14,0.02,0.0,0.0,0.0,0.11,0.21,0.0,0.15,0.0,0.0,0.02,0.01,0.24,0.08,0.01,0.0,57.22,167.66,340.83,178.42,-0.15,-0.14,-0.08,-0.01,-0.04,-0.04,-0.12,0.01
0,15.Orange.1,0.0,0.0,0.18,0.0,0.09,0.04,0.0,0.0,0.01,0.09,0.23,0.0,0.18,0.0,0.0,0.01,0.02,0.22,0.13,0.0,0.0,52.62,205.64,405.47,222.68,-0.1,-0.08,-0.06,-0.01,-0.1,-0.06,-0.06,-0.04
0,16.Yellow.1,0.0,0.0,0.18,0.0,0.07,0.02,0.0,0.0,0.0,0.09,0.25,0.0,0.04,0.0,0.0,0.01,0.0,0.19,0.07,0.0,0.0,56.09,210.77,408.77,224.67,-0.04,-0.02,-0.11,0.08,-0.03,-0.01,-0.02,-0.02
0,17.Orange.1,0.0,0.0,0.18,0.0,0.1,0.06,0.0,0.0,0.0,0.06,0.26,0.0,0.2,0.0,0.0,0.01,0.01,0.25,0.08,0.09,0.0,64.77,265.11,490.44,278.92,-0.07,-0.02,-0.07,-0.12,-0.01,-0.04,-0.0,-0.04
0,18.Pink.1,0.0,0.0,0.21,0.0,0.1,0.03,0.0,0.0,0.0,0.11,0.26,0.0,0.16,0.0,0.0,0.07,0.01,0.19,0.11,0.02,0.0,58.05,236.52,464.81,251.02,-0.07,0.01,-0.03,0.1,0.0,-0.01,-0.02,-0.03
0,19.Blue.1,0.0,0.0,0.14,0.0,0.04,0.01,0.0,0.0,0.01,0.13,0.16,0.0,0.1,0.0,0.0,0.03,0.01,0.22,0.09,0.0,0.01,54.04,217.42,437.23,236.25,-0.08,-0.15,-0.05,-0.11,-0.09,-0.08,0.0,0.0
0,2.Pink.1,0.0,0.0,0.16,0.0,0.12,0.02,0.0,0.0,0.0,0.07,0.31,0.0,0.12,0.0,0.0,0.02,0.0,0.24,0.06,0.01,0.0,85.52,262.1,498.54,279.87,-0.05,-0.08,0.06,-0.05,0.15,0.03,-0.06,-0.05
0,20.Blue.1,0.0,0.0,0.16,0.0,0.08,0.0,0.0,0.0,0.0,0.05,0.3,0.01,0.03,0.0,0.0,0.02,0.0,0.17,0.02,0.0,0.0,59.12,217.53,426.57,233.47,-0.05,-0.06,-0.08,0.03,0.01,-0.01,0.01,-0.01
0,21.Blue.1,0.0,0.0,0.15,0.0,0.07,0.01,0.0,0.0,0.0,0.07,0.29,0.0,0.11,0.0,0.0,0.02,0.0,0.19,0.06,0.0,0.0,52.72,208.04,414.84,219.47,0.03,-0.08,0.04,0.06,-0.01,-0.06,-0.08,-0.03
0,22.Blue.1,0.0,0.0,0.14,0.0,0.09,0.01,0.0,0.0,0.0,0.14,0.31,0.01,0.13,0.0,0.0,0.02,0.01,0.13,0.07,0.0,0.0,71.77,257.61,486.59,273.29,-0.03,-0.03,-0.01,0.03,0.05,0.01,0.03,0.04
0,23.Orange.1,0.0,0.0,0.12,0.0,0.08,0.03,0.0,0.0,0.0,0.07,0.23,0.0,0.18,0.0,0.0,0.04,0.02,0.28,0.08,0.0,0.0,41.81,220.83,450.29,238.35,-0.08,-0.04,-0.03,0.03,-0.06,-0.04,-0.06,0.02
0,24.Blue.1,0.0,0.0,0.15,0.0,0.08,0.01,0.0,0.0,0.0,0.1,0.22,0.01,0.13,0.0,0.0,0.02,0.0,0.22,0.1,0.0,0.0,50.87,223.17,442.54,242.27,-0.06,-0.04,-0.02,-0.05,-0.04,-0.12,-0.04,0.01
0,25.Pink.1,0.0,0.0,0.11,0.0,0.07,0.0,0.0,0.0,0.0,0.06,0.15,0.0,0.07,0.0,0.0,0.06,0.01,0.19,0.05,0.01,0.0,47.49,201.82,397.98,214.01,-0.0,-0.03,-0.09,-0.03,-0.06,-0.01,0.03,-0.01
0,26.Pink.1,0.0,0.0,0.17,0.0,0.15,0.01,0.0,0.0,0.0,0.09,0.25,0.0,0.12,0.0,0.0,0.03,0.0,0.19,0.04,0.01,0.0,56.07,226.14,430.05,242.72,-0.02,-0.01,-0.03,-0.14,-0.02,-0.0,-0.02,0.0
0,27.Pink.1,0.0,0.0,0.13,0.0,0.09,0.0,0.0,0.0,0.01,0.13,0.3,0.01,0.08,0.0,0.0,0.02,0.01,0.28,0.09,0.01,0.0,44.66,218.0,419.87,231.92,0.02,-0.01,-0.08,0.04,-0.02,-0.04,-0.02,0.05
0,28.Blue.1,0.0,0.0,0.14,0.0,0.09,0.01,0.0,0.0,0.0,0.05,0.22,0.01,0.13,0.0,0.0,0.02,0.0,0.23,0.12,0.0,0.0,59.04,220.29,420.57,237.48,-0.07,0.03,-0.03,-0.04,-0.01,0.05,-0.07,-0.05
0,3.Green.1,0.0,0.0,0.15,0.0,0.08,0.01,0.0,0.0,0.0,0.05,0.2,0.01,0.2,0.0,0.0,0.02,0.0,0.21,0.08,0.0,0.0,57.26,203.64,409.64,215.7,-0.14,-0.09,-0.13,-0.14,-0.13,-0.11,-0.15,-0.11
0,4.Blue.1,0.0,0.0,0.16,0.0,0.05,0.0,0.0,0.0,0.0,0.04,0.16,0.0,0.05,0.0,0.0,0.04,0.0,0.19,0.04,0.0,0.0,63.7,212.28,407.89,222.43,-0.06,-0.02,-0.15,-0.06,0.0,0.06,-0.07,0.0
0,5.Orange.1,0.0,0.0,0.17,0.0,0.09,0.02,0.0,0.0,0.0,0.06,0.22,0.01,0.14,0.0,0.0,0.04,0.0,0.29,0.09,0.01,0.0,55.01,214.73,436.94,227.58,-0.01,-0.03,0.01,-0.06,-0.03,0.05,-0.01,0.08
0,6.Blue.1,0.0,0.0,0.09,0.0,0.06,0.02,0.0,0.0,0.0,0.06,0.17,0.0,0.09,0.0,0.0,0.01,0.0,0.16,0.09,0.0,0.0,46.46,192.91,385.54,206.5,-0.06,0.06,-0.0,-0.01,0.08,0.06,0.02,0.01
