group_id,meta.group_number,meta.meeting_size,meta.meeting_length_in_minutes,meta.ags,meta.group_te,meta.group_ww,meta.group_tm,meta.group_eff,meta.group_qw,meta.group_sat,meta.group_lead
1.Pink.1,1,3,9.75,78,4.67,5,5,4.67,5,4.87,3.67
10.Orange.1,10,2,3.88,72,5,4,4.5,5,4,4.42,3.5
11.Pink.1,11,2,12.65,82,2.5,4,4.5,1.5,4,3.3,4.5
12.Blue.1,12,4,5.2,90,4.25,4.75,4.75,4.5,4.75,4.6,3.5
13.Yellow.1,13,2,8.67,62,4,4.5,4,4,4,4.1,4
14.Red.1,14,4,10.1,62,1.5,4.25,4.75,4.75,4.5,3.95,2.75
15.Orange.1,15,4,15.58,78,3.75,4.75,4,3.75,4,4.05,3.75
16.Yellow.1,16,3,5.46,64,1.67,4.67,4.3,5,4.33,4,4.33
17.Orange.1,17,4,13.1,76,2,4.5,4,4.25,4,3.75,3.5
18.Pink.1,18,3,15.27,84,3.67,2.83,2.8,2.83,2.5,2.93,3.33
19.Blue.1,19,3,7.05,88,1.67,4.67,4.67,5,4.33,4.07,3.33
2.Pink.1,2,2,9.83,68,4.5,4.5,5,5,4.5,4.7,3.5
20.Blue.1,20,3,6.14,76,2.67,4.33,5,5,4.67,4.33,3
21.Blue.1,21,3,7.3,80,1.67,5,5,3.33,4.67,3.93,3.33
22.Blue.1,22,3,5.5,66,2.33,4.67,4.67,4.67,4.33,4.13,3.33
23.Orange.1,23,2,12.32,90,1.5,5,4.5,4.5,4.5,4,4
24.Blue.1,24,3,13.44,47,2.33,4,3.67,4.67,4.33,3.8,2.67
25.Pink.1,25,3,7.56,100,2,4,4,3,4.33,3.47,4
26.Pink.1,26,3,5.21,92,2.33,3.67,4.33,4.33,4.33,3.8,3.33
27.Pink.1,27,3,7.38,66,2,4.67,4.33,4.6,4.33,4,3.33
28.Blue.1,28,3,14.18,72,2,4,4.33,4,5,3.8,4.33
3.Green.1,3,2,8.05,68,4.5,4.5,4.5,5,4.5,4.7,3.5
4.Blue.1,4,3,3.95,86,4.67,4.33,4.67,4.33,4.67,4.53,3.33
5.Orange.1,5,4,12.6,80,3.25,4,4.25,4.25,3.75,3.9,3.25
6.Blue.1,6,4,9.23,50,4.75,4.75,5,5,4.75,4.85,3.5
7.Orange.1,7,3,12.1,83,3,4.67,4.33,5,4.33,4.27,2.67
8.Blue.1,8,3,8.98,59,4,4.67,4.67,5,4.33,4.53,3.67
9.Green.1,9,3,6.63,70,4.33,4.33,4.33,4.33,4,4.27,2.67
