time,group_id,please,please_start,has_hedge,indirect_(btw),hedges,factuality,deference,gratitude,apologizing,1st_person_plural,1st_person,1st_person_start,2nd_person,2nd_person_start,indirect_(greeting),direct_question,direct_start,has_positive,has_negative,subjunctive,indicative,age_of_acquisition,concreteness,familiarity,imageability
1,1.Pink.1,0,0,0.1,0,0.09,0.02,0,0,0,0.04,0.3,0.01,0.17,0,0,0.02,0.02,0.22,0.04,0,0.02,44.24,261.83,472.27,277.21
2,1.Pink.1,0,0,0.11,0,0.07,0.01,0,0,0,0.07,0.22,0,0.17,0,0,0.02,0,0.15,0.07,0,0,40.67,225.59,446.96,246.95
3,1.Pink.1,0,0,0.09,0,0.02,0.01,0,0,0.01,0.09,0.18,0,0.17,0,0,0,0,0.15,0.1,0,0,64.38,214.92,412.4,230.05
4,1.Pink.1,0,0,0.03,0,0.03,0.04,0,0,0,0.07,0.26,0.03,0.18,0,0,0.03,0,0.17,0.04,0.02,0,25.95,219.72,437.96,234.11
5,1.Pink.1,0,0,0.1,0,0.04,0.02,0,0,0,0.02,0.14,0,0.06,0,0,0,0,0.18,0.04,0,0,53.27,241.4,469.27,267.5
1,10.Orange.1,0,0,0.22,0,0.18,0.05,0,0,0,0.04,0.32,0,0.18,0,0,0,0,0.41,0.04,0,0,100.58,255.41,504.8,280.27
2,10.Orange.1,0,0,0.09,0,0.09,0,0,0,0,0,0.44,0,0.13,0,0,0.04,0,0.26,0.04,0,0,86.74,295.86,563.46,340.37
3,10.Orange.1,0,0,0.04,0,0.04,0.04,0,0,0,0.07,0.18,0.04,0,0,0,0,0,0.14,0.11,0,0,57.86,247.46,478.76,259.98
4,10.Orange.1,0,0,0.18,0,0.18,0,0,0,0,0.15,0.39,0,0.06,0,0,0,0,0.16,0.06,0,0,42.94,249.18,550.4,266.97
5,10.Orange.1,0,0,0.15,0,0.15,0.06,0,0,0,0.2,0.2,0.06,0,0,0,0,0.06,0.1,0.06,0,0,55.1,202.16,400.84,216.98
1,11.Pink.1,0,0,0.22,0,0.1,0.02,0,0,0,0.1,0.26,0.02,0.16,0,0,0,0,0.3,0.14,0,0,88.1,199.48,406.34,215.58
2,11.Pink.1,0,0,0.3,0,0.28,0,0,0,0,0.05,0.32,0,0.2,0,0,0.02,0.06,0.35,0.09,0,0,116.78,251.2,528.34,273.23
3,11.Pink.1,0,0,0.28,0,0.23,0.03,0,0,0,0.12,0.23,0,0.17,0,0,0.1,0,0.35,0.1,0,0,58.18,220.63,483.81,249.94
4,11.Pink.1,0,0,0.24,0,0.11,0,0,0,0.02,0.13,0.18,0.02,0.16,0,0,0.02,0,0.23,0.12,0,0,83.48,252.42,502.12,276.56
5,11.Pink.1,0,0,0.22,0,0.09,0,0,0,0.02,0.15,0.24,0,0.11,0,0,0.06,0,0.27,0.16,0,0,33.98,273.6,514.14,292.09
1,12.Blue.1,0,0,0.12,0,0.08,0.06,0,0,0,0,0.39,0,0.11,0,0,0,0.02,0.27,0.14,0,0,93.32,233.59,460.25,251.79
2,12.Blue.1,0,0,0.11,0,0.02,0,0,0,0,0.06,0.2,0,0.04,0,0,0.02,0,0.06,0.11,0,0,27.79,140.1,258.2,148.31
3,12.Blue.1,0,0,0.14,0,0.09,0.07,0,0,0,0,0.25,0,0.03,0,0,0.06,0.02,0.27,0.08,0,0,61.1,164.49,334.26,175.04
4,12.Blue.1,0,0,0.22,0,0.07,0.06,0,0,0,0,0.34,0,0.1,0,0,0,0,0.39,0.18,0,0,71.55,192.43,393.21,213.35
5,12.Blue.1,0,0,0.16,0,0.1,0,0,0,0,0.02,0.22,0,0.09,0,0,0.02,0,0.3,0.07,0,0,64.19,223.36,430.45,232.42
1,13.Yellow.1,0,0,0.01,0,0.01,0,0,0,0,0.04,0.08,0,0.05,0,0,0,0,0.1,0.04,0,0,71.77,234.9,401.81,274.25
2,13.Yellow.1,0,0,0.12,0,0.04,0,0,0,0,0.12,0.18,0,0.08,0,0,0.04,0.01,0.15,0.06,0,0,38.05,196.96,371.47,210.96
3,13.Yellow.1,0,0,0.1,0,0.02,0,0,0,0,0.08,0.13,0,0.08,0,0,0.01,0,0.08,0.07,0,0,26.42,216.02,376.86,230.99
4,13.Yellow.1,0,0,0.14,0,0.06,0.01,0,0,0.02,0.16,0.06,0,0.04,0,0,0.03,0,0.08,0.08,0.01,0,16.73,205.32,396.22,222.73
5,13.Yellow.1,0,0,0.18,0,0,0,0,0,0,0.11,0.05,0,0.04,0,0,0.02,0,0.15,0.08,0,0,57.82,210.74,406.04,228.72
1,14.Red.1,0,0,0.18,0,0.11,0,0,0,0,0.13,0.24,0,0.13,0,0,0.04,0,0.3,0.11,0,0,77.34,178.33,385.52,189.78
2,14.Red.1,0,0,0.22,0,0.2,0.05,0,0,0,0.06,0.25,0,0.3,0,0,0,0,0.25,0.06,0.02,0,51.75,172.21,351.54,186.11
3,14.Red.1,0,0,0.18,0,0.08,0,0,0,0,0.07,0.12,0,0.11,0,0,0,0.04,0.14,0,0.03,0,28.24,173.64,329.31,187.36
4,14.Red.1,0,0,0.12,0,0.07,0.04,0,0,0,0.1,0.11,0,0.08,0,0,0.01,0.01,0.15,0.09,0.01,0,39.42,111.46,230.8,117.63
5,14.Red.1,0,0,0.3,0,0.21,0.01,0,0,0,0.05,0.25,0,0.1,0,0,0.02,0,0.2,0.07,0,0,89.89,145.8,264.87,152.67
1,15.Orange.1,0,0,0.17,0,0.09,0.04,0,0,0.02,0.03,0.3,0,0.18,0,0,0.03,0.04,0.25,0.21,0,0,61.09,191.62,383.98,208.9
2,15.Orange.1,0,0,0.17,0,0.06,0.01,0,0,0.01,0.09,0.2,0,0.26,0,0,0,0.02,0.24,0.11,0,0,38.37,181.66,370.83,198.32
3,15.Orange.1,0,0,0.3,0,0.14,0.03,0,0,0.01,0.07,0.22,0,0.15,0,0,0.01,0,0.26,0.19,0,0,55.3,177.13,353.86,192.39
4,15.Orange.1,0,0,0.11,0,0.06,0.05,0,0,0.01,0.1,0.26,0,0.16,0,0,0.01,0.02,0.16,0.07,0.01,0,37.8,245.43,470.81,261.35
5,15.Orange.1,0,0,0.15,0,0.08,0.05,0,0,0,0.14,0.16,0,0.14,0,0,0.02,0,0.2,0.12,0,0,77.14,224.48,434.07,245.39
1,16.Yellow.1,0,0,0.12,0,0.07,0.06,0,0.02,0,0.06,0.44,0,0.07,0,0,0,0,0.15,0.06,0,0,63.58,200.96,368.16,214.71
2,16.Yellow.1,0,0,0.49,0,0.04,0.02,0,0,0,0.06,0.09,0,0,0,0,0,0,0.49,0.08,0,0,21.05,239.36,495.87,257.31
3,16.Yellow.1,0,0,0.14,0,0.04,0,0,0,0,0.07,0.14,0,0.02,0,0,0.04,0,0.28,0.02,0,0,93.11,232.12,454.93,248.96
4,16.Yellow.1,0,0,0.19,0,0.04,0,0,0,0,0.15,0.29,0,0.13,0,0,0,0,0.08,0.17,0,0,73.26,252.26,479.27,266.77
5,16.Yellow.1,0,0,0.2,0,0.17,0,0,0,0,0.11,0.18,0,0,0,0,0.03,0,0.15,0.03,0,0,32.17,166.85,333.01,175.22
1,17.Orange.1,0,0,0.1,0,0.05,0.04,0,0,0,0.01,0.44,0.01,0.01,0,0,0,0.01,0.23,0.06,0,0,30.32,234.26,469.4,246.37
2,17.Orange.1,0,0,0.15,0,0.06,0.02,0,0,0,0.04,0.11,0,0.11,0,0,0.02,0.02,0.25,0.12,0,0,57.18,169.18,334.5,178.79
3,17.Orange.1,0,0,0.15,0,0.08,0,0,0,0,0.08,0.16,0,0.1,0,0,0.01,0,0.18,0.07,0.01,0,47.31,175.26,339.5,187.63
4,17.Orange.1,0,0,0.13,0,0.08,0.04,0,0,0,0.05,0.14,0,0.12,0,0,0.02,0,0.13,0.08,0.02,0,40.53,171.41,342.7,182.42
5,17.Orange.1,0,0,0.17,0,0.09,0.05,0,0,0,0.14,0.2,0,0.16,0,0,0,0,0.18,0.08,0.1,0,60.04,267.72,478.92,284.17
1,18.Pink.1,0,0,0.2,0,0.09,0.03,0,0,0,0.01,0.34,0,0.21,0,0,0.03,0.01,0.29,0.13,0.02,0,79.92,197.68,375.54,208.2
2,18.Pink.1,0,0,0.11,0,0.04,0.02,0,0,0,0.07,0.24,0,0.14,0,0,0.04,0.01,0.19,0.14,0,0,62.98,239.29,461.96,249.56
3,18.Pink.1,0,0,0.28,0,0.14,0.03,0,0,0,0.09,0.34,0,0.16,0,0,0.09,0.02,0.16,0.13,0.04,0,37.31,266.75,520.42,276.54
4,18.Pink.1,0,0,0.3,0,0.14,0.05,0,0,0,0.28,0.21,0.02,0.11,0,0,0.12,0,0.2,0.08,0,0,33.83,238.56,514.44,265.98
5,18.Pink.1,0,0,0.23,0,0.11,0.02,0,0,0,0.14,0.15,0,0.16,0,0,0.07,0,0.09,0.06,0.03,0,69.35,243.19,472.11,262.65
1,19.Blue.1,0,0,0.2,0,0.11,0,0,0,0.03,0.16,0.29,0,0.1,0,0,0.06,0.06,0.34,0.15,0,0,34.37,220.75,449.87,238.19
2,19.Blue.1,0,0,0.21,0,0,0,0,0,0,0.2,0.04,0,0.02,0,0,0,0,0.16,0.09,0,0,55.9,194.57,425.16,219.81
3,19.Blue.1,0,0,0.06,0,0,0.02,0,0,0,0.14,0.04,0,0.12,0,0,0.04,0,0.17,0.06,0,0,36.31,201.78,423.64,221.53
4,19.Blue.1,0,0,0.08,0,0.03,0.03,0,0,0,0.06,0.22,0,0.11,0,0,0.05,0,0.22,0.06,0,0,75.06,226.28,436.39,236.69
5,19.Blue.1,0,0,0.16,0,0.13,0,0,0.01,0.01,0.07,0.17,0.01,0.2,0,0,0.01,0,0.21,0.09,0,0.07,51.59,226.34,430.66,248.81
1,2.Pink.1,0,0,0.16,0,0.1,0.06,0,0,0,0.06,0.36,0,0.16,0,0,0.1,0,0.26,0.06,0,0,132,284.53,522.88,304.76
2,2.Pink.1,0,0,0.25,0,0.1,0,0,0,0,0,0.3,0,0.2,0,0,0,0,0.4,0.15,0,0,64.75,283.96,530.5,305.02
3,2.Pink.1,0,0,0.11,0,0.11,0,0,0,0,0.06,0.34,0,0.06,0,0,0,0,0.18,0,0,0,45.74,235.26,489.56,250.5
4,2.Pink.1,0,0,0.22,0,0.22,0.08,0,0,0,0.15,0.29,0,0.22,0,0,0,0,0.25,0.08,0.08,0,128.52,264.6,517.57,281.5
5,2.Pink.1,0,0,0.14,0,0.14,0,0,0,0,0.08,0.26,0,0.04,0,0,0,0,0.18,0.04,0,0,71.84,259.4,468.84,276.93
1,20.Blue.1,0,0,0.22,0,0.06,0,0,0,0,0.04,0.27,0,0,0,0,0.02,0,0.17,0.04,0,0,61.48,185.89,375.31,199.59
2,20.Blue.1,0,0,0.05,0,0,0,0,0,0,0.02,0.33,0,0.02,0,0,0.02,0,0.18,0.02,0,0,65.28,211.8,415.52,231.5
3,20.Blue.1,0,0,0.02,0,0,0,0,0,0,0.04,0.28,0,0.04,0,0,0.04,0,0.31,0,0,0,52.92,262.04,528.08,279.14
4,20.Blue.1,0,0,0.29,0,0.18,0,0,0,0,0.02,0.4,0.08,0.06,0,0,0,0,0.21,0.06,0,0,94.04,246.81,473.41,263.17
