speaker_id,meta.team_id,meta.group_size,meta.group_familiarity,meta.member_contribution,meta.leadership_score,meta.convo_engagement,meta.convo_warmth,meta.convo_comfortability,meta.convo_interest,meta.convo_friendliness
1.2,1,4,1.33,4,3.75,4,3,4,4,4
1.1,1,4,1,3,3.25,3,3,5,4,4
1.3,1,4,1.66,3.25,2.75,5,4,4,5,4
1.4,1,4,2,3.5,3,5,4,4,5,5
2.1,2,4,1.33,4.5,4,5,4,5,5,5
2.4,2,4,1.33,4.25,3.25,4,4,4,3,4
2.3,2,4,1,3.75,2,5,5,5,5,5
2.2,2,4,1,4,3,4,4,4,4,5
3.1,3,4,1,4.25,3.25,5,5,4,5,5
3.4,3,4,1,2.75,2,5,4,5,5,5
3.2,3,4,1,3.2,3.5,4,3,5,4,5
3.3,3,4,1,4,3,4,3,4,4,4
4.1,4,4,1.67,3.25,2.75,5,5,5,5,5
4.3,4,4,1.67,4.5,4.25,5,5,5,5,5
4.2,4,4,3,4.25,2.5,5,5,5,5,5
4.4,4,4,1.67,4.25,3,4,4,4,5,4
5.2,5,4,1,3.25,2.25,3,2,2,2,3
5.3,5,4,1,5,4.5,4,3,3,4,2
5.1,5,4,1,2.75,3,1,2,4,1,1
5.4,5,4,1,2,1.12,5,3,4,4,4
6.1,6,5,1.25,4.6,4.2,5,5,0,5,5
6.2,6,5,1,3.4,3.2,4,4,5,4,4
6.3,6,5,1.25,4.2,3.6,5,5,5,5,5
6.4,6,5,1,2,1.6,3,2,2,2,1
6.5,6,5,1,2.6,1.8,4,5,3,5,4
7.1,7,3,2,4,3,4,3,4,3,4
7.2,7,3,1,4,2.67,4,3,4,5,5
7.3,7,3,2,4,2.67,4,4,4,4,5
8.5,8,5,1.5,4.4,2.2,4,3,5,4,5
8.1,8,5,2,4.2,2.6,5,4,4,5,5
8.2,8,5,2,4.2,2.4,5,4,4,5,4
8.4,8,5,1.5,4.2,2.6,5,5,5,5,5
8.3,8,5,2,4.4,3,4,4,5,5,5
9.2,9,3,1,4.33,3.33,4,3,3,4,4
9.1,9,3,1,4.33,2.67,4,4,5,5,5
9.3,9,3,1,4.33,3,4,4,4,4,4
10.3,10,4,3,4.25,3.75,5,5,5,5,5
10.1,10,4,2.67,4.25,3.75,5,4,5,5,5
10.4,10,4,3,3.25,2.25,3,4,4,4,4
10.2,10,4,3,4.25,4,4,3,5,5,5
11.1,11,3,1,4,4,3,4,5,4,5
11.3,11,3,1,4,4.33,5,5,3,3,5
11.2,11,3,1,4,3.67,4,4,5,3,5
12.1,12,3,1,3.33,1.33,4,5,5,3,5
12.3,12,3,1.5,4.67,2.33,5,5,5,5,5
12.2,12,3,2,5,2.667,5,5,5,5,5
13.3,13,4,1.67,4.5,4,5,4,5,4,5
13.2,13,4,1.67,4.25,3.5,3,3,3,3,4
13.1,13,4,1.67,4.25,3.75,4,3,4,5,4
13.4,13,4,1.67,2.25,1,4,3,4,3,5
14.3,14,4,1,4.25,3.5,5,4,4,5,5
14.2,14,4,1,3.5,2,5,4,5,5,4
14.4,14,4,1,2.6,2.25,5,4,5,5,5
14.1,14,4,1.33,3.5,2.25,5,4,4,5,5
15.2,15,4,1,4.5,3.5,4,5,4,5,5
15.3,15,4,1,4.25,3.25,5,5,5,5,5
15.1,15,4,1,4.25,3,5,4,5,5,5
15.4,15,4,1,3,2.5,5,5,5,5,5
16.3,16,4,1,4,4,5,4,5,5,5
16.1,16,4,1.67,3.5,2.5,5,5,4,4,5
16.2,16,4,1,4,3.25,4,5,5,4,5
16.4,16,4,1.67,4,3.5,5,4,5,5,5
17.3,17,3,1,4.67,3.67,4,3,3,4,3
17.1,17,3,2,4,3,4,3,3,5,4
17.2,17,3,2,4.33,2.67,4,4,4,4,5
18.4,18,4,2,4,3.75,5,4,4,3,4
18.3,18,4,2.33,4,3,5,4,4,5,5
18.2,18,4,2,3.5,3,5,4,5,5,4
18.1,18,4,1,3.75,3.25,5,4,5,5,4
19.1,19,3,1,4.67,3.33,5,3,5,5,5
19.3,19,3,1,4,3,4,3,4,4,2
19.2,19,3,1,3,2,3,3,4,4,3
20.4,20,4,2.33,3.25,3,5,4,4,5,5
20.1,20,4,1,4.5,3.75,5,5,4,5,5
20.3,20,4,2.33,4.25,3.25,5,5,5,5,5
20.2,20,4,2.33,3,2,3,3,3,3,3
21.3,21,5,1,4.2,3.8,4,4,4,4,4
21.2,21,5,1.5,4.4,4,5,5,5,5,5
21.4,21,5,1.25,3.4,2.8,5,4,4,5,4
21.5,21,5,1.25,2.4,1.6,4,3,4,5,4
21.1,21,5,1.5,3.6,2.8,4,4,3,4,4
22.1,22,5,2,4,4.2,4,4,5,5,5
22.3,22,5,2,3.4,2.6,4,4,4,5,5
22.2,22,5,1,3.8,2.8,5,4,4,5,4
22.4,22,5,1,4,3.2,5,5,5,5,5
22.5,22,5,2,3.8,3.2,5,5,4,5,3
