,time,speaker_id,please,please_start,has_hedge,indirect_(btw),hedges,factuality,deference,gratitude,apologizing,1st_person_plural,1st_person,1st_person_start,2nd_person,2nd_person_start,indirect_(greeting),direct_question,direct_start,has_positive,has_negative,subjunctive,indicative,age_of_acquisition,concreteness,familiarity,imageability
0,1,1.Pink,0.0,0.0,0.1,0.0,0.1,0.07,0.0,0.0,0.0,0.03,0.28,0.03,0.07,0.0,0.0,0.0,0.07,0.24,0.03,0.0,0.0,57.78,254.69,472.86,273.28
1,2,1.Pink,0.0,0.0,0.14,0.0,0.04,0.04,0.0,0.0,0.0,0.07,0.11,0.0,0.25,0.0,0.0,0.0,0.0,0.11,0.07,0.0,0.0,24.74,185.48,377.48,213.55
2,3,1.Pink,0.0,0.0,0.15,0.0,0.04,0.0,0.0,0.0,0.0,0.11,0.07,0.0,0.15,0.0,0.0,0.0,0.0,0.07,0.15,0.0,0.0,66.31,180.34,342.53,194.92
3,4,1.Pink,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.3,0.0,0.04,0.0,0.0,0.0,0.0,0.13,0.04,0.0,0.0,12.57,191.79,356.44,202.98
4,5,1.Pink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.0,0.0,36.87,244.76,560.64,283.64
5,1,1.Blue,0.0,0.0,0.21,0.0,0.17,0.0,0.0,0.0,0.0,0.03,0.34,0.0,0.1,0.0,0.0,0.0,0.0,0.24,0.03,0.0,0.0,45.76,204.07,387.46,214.54
6,2,1.Blue,0.0,0.0,0.2,0.0,0.17,0.0,0.0,0.0,0.0,0.07,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.13,0.0,0.0,10.47,244.17,494.41,266.64
7,3,1.Blue,0.0,0.0,0.07,0.0,0.03,0.0,0.0,0.0,0.03,0.07,0.31,0.0,0.1,0.0,0.0,0.0,0.0,0.24,0.03,0.0,0.0,62.69,204.75,407.83,221.84
8,4,1.Blue,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.15,0.33,0.04,0.15,0.0,0.0,0.04,0.0,0.19,0.07,0.07,0.0,24.59,228.68,481.54,251.92
9,5,1.Blue,0.0,0.0,0.24,0.0,0.12,0.06,0.0,0.0,0.0,0.0,0.18,0.0,0.12,0.0,0.0,0.0,0.0,0.29,0.06,0.0,0.0,75.06,238.4,384.23,254.75
10,1,1.Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.28,0.0,0.33,0.0,0.0,0.06,0.0,0.17,0.06,0.0,0.06,29.17,326.73,556.5,343.81
11,2,1.Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.12,0.0,0.25,0.0,0.0,0.06,0.0,0.12,0.0,0.0,0.0,86.81,247.11,468.98,260.65
12,3,1.Green,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.09,0.17,0.0,0.26,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,64.13,259.67,486.83,273.38
13,4,1.Green,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.15,0.05,0.35,0.0,0.0,0.05,0.0,0.2,0.0,0.0,0.0,40.7,238.7,475.9,247.43
14,5,1.Green,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.0,0.06,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,47.89,241.04,462.95,264.1
15,1,10.Orange,0.0,0.0,0.33,0.0,0.25,0.0,0.0,0.0,0.0,0.08,0.33,0.0,0.17,0.0,0.0,0.0,0.0,0.42,0.08,0.0,0.0,96.5,290.77,598.98,321.68
16,2,10.Orange,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.18,0.0,0.0,0.09,0.0,0.36,0.0,0.0,0.0,41.91,251.55,541.08,307.24
17,3,10.Orange,0.0,0.0,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.14,0.21,0.07,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.0,0.0,20.64,239.42,465.12,252.59
18,4,10.Orange,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,48.18,220.86,514.98,243.62
19,5,10.Orange,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,47.75,147.85,283.13,160.55
20,1,10.Pink,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,104.65,220.05,410.63,238.86
21,2,10.Pink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.08,0.0,0.0,0.0,0.0,0.17,0.08,0.0,0.0,131.58,340.17,585.84,373.5
22,3,10.Pink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.15,0.0,0.0,95.08,255.5,492.41,267.38
23,4,10.Pink,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,37.69,277.5,585.82,290.32
24,5,10.Pink,0.0,0.0,0.22,0.0,0.22,0.11,0.0,0.0,0.0,0.33,0.33,0.11,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,62.44,256.47,518.55,273.4
25,1,11.Pink,0.0,0.0,0.33,0.0,0.15,0.04,0.0,0.0,0.0,0.15,0.41,0.0,0.3,0.0,0.0,0.0,0.0,0.48,0.15,0.0,0.0,118.92,260.43,528.16,282.54
26,2,11.Pink,0.0,0.0,0.48,0.0,0.44,0.0,0.0,0.0,0.0,0.04,0.37,0.0,0.3,0.0,0.0,0.04,0.07,0.48,0.07,0.0,0.0,115.65,277.21,571.28,300.66
27,3,11.Pink,0.0,0.0,0.38,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.34,0.0,0.0,0.07,0.0,0.52,0.03,0.0,0.0,60.47,233.79,513.94,257.21
28,4,11.Pink,0.0,0.0,0.27,0.0,0.17,0.0,0.0,0.0,0.03,0.0,0.33,0.03,0.27,0.0,0.0,0.03,0.0,0.33,0.1,0.0,0.0,121.94,285.64,569.86,308.26
29,5,11.Pink,0.0,0.0,0.25,0.0,0.14,0.0,0.0,0.0,0.04,0.11,0.36,0.0,0.18,0.0,0.0,0.04,0.0,0.32,0.18,0.0,0.0,24.9,296.73,571.99,319.95
30,1,11.Green,0.0,0.0,0.1,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.1,0.03,0.03,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,57.27,138.52,284.52,148.62
31,2,11.Green,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.06,0.28,0.0,0.11,0.0,0.0,0.0,0.06,0.22,0.11,0.0,0.0,117.92,225.18,485.4,245.8
32,3,11.Green,0.0,0.0,0.18,0.0,0.12,0.06,0.0,0.0,0.0,0.24,0.18,0.0,0.0,0.0,0.0,0.12,0.0,0.18,0.18,0.0,0.0,55.88,207.47,453.68,242.66
33,4,11.Green,0.0,0.0,0.22,0.0,0.04,0.0,0.0,0.0,0.0,0.26,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,45.02,219.21,434.37,244.85
34,5,11.Green,0.0,0.0,0.19,0.0,0.04,0.0,0.0,0.0,0.0,0.19,0.11,0.0,0.04,0.0,0.0,0.07,0.0,0.22,0.15,0.0,0.0,43.07,250.47,456.28,264.22
35,1,12.Blue,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,117.55,224.88,429.04,236.19
36,2,12.Blue,0.0,0.0,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.07,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.0,0.0,49.21,206.07,382.68,218.16
37,3,12.Blue,0.0,0.0,0.11,0.0,0.11,0.22,0.0,0.0,0.0,0.0,0.33,0.0,0.11,0.0,0.0,0.22,0.0,0.22,0.0,0.0,0.0,116.39,239.01,463.65,250.31
38,4,12.Blue,0.0,0.0,0.36,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.18,0.0,0.0,0.0,0.0,0.45,0.36,0.0,0.0,90.18,231.01,489.47,263.29
39,5,12.Blue,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.21,0.0,0.07,0.0,0.0,0.07,0.0,0.14,0.14,0.0,0.0,63.23,274.48,507.14,285.23
40,1,12.Green,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,136.6,241.02,475.98,257.88
41,2,12.Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,3,12.Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,4,12.Green,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,42.8,179.5,357.98,194.12
44,5,12.Green,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,33.08,212.57,399.69,218.79
45,1,12.Pink,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,34.7,228.89,469.5,254.18
46,2,12.Pink,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.11,0.0,0.06,0.0,0.0,0.06,0.0,0.06,0.17,0.0,0.0,27.56,212.48,424.7,227.99
47,3,12.Pink,0.0,0.0,0.21,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.07,0.36,0.07,0.0,0.0,54.14,217.52,422.61,235.51
48,4,12.Pink,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.14,0.0,0.0,72.96,211.04,425.92,241.44
49,5,12.Pink,0.0,0.0,0.33,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.11,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,125.17,197.89,396.23,211.56
50,1,12.Orange,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.44,0.0,0.33,0.0,0.0,0.0,0.0,0.44,0.22,0.0,0.0,84.44,239.57,466.48,258.9
51,2,12.Orange,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,34.38,141.86,225.4,147.08
52,3,12.Orange,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,73.88,201.44,450.77,214.35
53,4,12.Orange,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,80.25,148.16,299.48,154.55
54,5,12.Orange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.14,0.0,0.0,35.29,208.49,418.73,214.11
55,1,13.Yellow,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.12,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.04,0.0,0.0,95.29,267.19,460.4,305.76
56,2,13.Yellow,0.0,0.0,0.17,0.0,0.07,0.0,0.0,0.0,0.0,0.17,0.24,0.0,0.17,0.0,0.0,0.07,0.02,0.24,0.12,0.0,0.0,76.1,267.52,535.02,288.52
57,3,13.Yellow,0.0,0.0,0.12,0.0,0.05,0.0,0.0,0.0,0.0,0.17,0.12,0.0,0.15,0.0,0.0,0.02,0.0,0.15,0.07,0.0,0.0,52.85,282.73,538.46,308.09
58,4,13.Yellow,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.12,0.02,0.0,0.08,0.0,0.0,0.06,0.0,0.12,0.04,0.02,0.0,33.45,258.02,510.34,273.97
59,5,13.Yellow,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,0.0,0.07,0.0,0.0,0.05,0.0,0.19,0.0,0.0,0.0,75.82,262.63,535.83,283.75
60,1,13.Blue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,48.25,202.6,343.22,242.74
61,2,13.Blue,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,126.39,207.92,133.4
62,3,13.Blue,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,149.31,215.25,153.89
63,4,13.Blue,0.0,0.0,0.21,0.0,0.11,0.0,0.0,0.0,0.05,0.21,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,0.0,0.0,0.0,152.63,282.11,171.48
64,5,13.Blue,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.16,0.0,0.0,39.82,158.84,276.24,173.7
65,1,14.Red,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.15,0.3,0.0,0.4,0.0,0.0,0.05,0.0,0.4,0.25,0.0,0.0,186.22,282.86,568.29,300.01
66,2,14.Red,0.0,0.0,0.23,0.0,0.18,0.05,0.0,0.0,0.0,0.23,0.36,0.0,0.27,0.0,0.0,0.0,0.0,0.36,0.23,0.09,0.0,112.13,221.36,465.03,232.69
67,3,14.Red,0.0,0.0,0.24,0.0,0.16,0.0,0.0,0.0,0.0,0.28,0.16,0.0,0.28,0.0,0.0,0.0,0.0,0.56,0.0,0.12,0.0,55.28,269.79,552.6,285.96
68,4,14.Red,0.0,0.0,0.38,0.0,0.29,0.04,0.0,0.0,0.0,0.29,0.33,0.0,0.21,0.0,0.0,0.04,0.04,0.33,0.25,0.04,0.0,100.07,287.98,548.67,307.02
69,5,14.Red,0.0,0.0,0.38,0.0,0.33,0.05,0.0,0.0,0.0,0.19,0.33,0.0,0.24,0.0,0.0,0.1,0.0,0.48,0.1,0.0,0.0,152.4,296.72,563.33,315.6
70,1,14.Blue,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.38,0.0,0.0,0.0,0.0,0.12,0.0,0.38,0.0,0.0,0.0,123.12,207.73,449.49,220.97
71,2,14.Blue,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.43,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,94.86,180.46,340.96,188.35
72,3,14.Blue,0.0,0.0,0.5,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,57.67,308.28,483.14,326.46
73,4,14.Blue,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.25,0.12,0.0,0.0,57.62,157.85,374.51,163.51
