,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,article,auxverb,conj,adverb,ppron,ipron,preps,quant
1.Pink,0.0,0.0,0.09836065573770492,0.0,0.04918032786885246,0.03278688524590164,0.0,0.0,0.0,0.04918032786885246,0.18032786885245902,0.0,0.11475409836065574,0.0,0.0,0.0,0.0,0.13934426229508196,0.07377049180327869,0.0,0.0,0.03,0.02,0.1,0.1,0.05,0.01,-0.0,0.12
1.Blue,0.0,0.0,0.13636363636363635,0.0,0.09848484848484848,0.022727272727272728,0.0,0.0,0.007575757575757576,0.06818181818181818,0.3333333333333333,0.0,0.09090909090909091,0.0,0.0,0.007575757575757576,0.0,0.23484848484848486,0.06818181818181818,0.015151515151515152,0.0,0.06,-0.07,-0.03,-0.04,-0.13,0.06,-0.04,-0.04
1.Green,0.0,0.0,0.031578947368421054,0.0,0.010526315789473684,0.010526315789473684,0.0,0.0,0.0,0.06315789473684211,0.17894736842105263,0.0,0.25263157894736843,0.0,0.0,0.031578947368421054,0.0,0.14736842105263157,0.042105263157894736,0.0,0.010526315789473684,0.39,0.11,0.08,0.19,0.14,0.15,-0.06,0.0
10.Orange,0.0,0.0,0.15254237288135594,0.0,0.13559322033898305,0.01694915254237288,0.0,0.0,0.0,0.11864406779661017,0.288135593220339,0.01694915254237288,0.06779661016949153,0.0,0.0,0.01694915254237288,0.01694915254237288,0.2542372881355932,0.03389830508474576,0.0,0.0,0.03,-0.1,-0.03,-0.01,-0.08,-0.04,-0.01,-0.02
10.Pink,0.0,0.0,0.09615384615384616,0.0,0.09615384615384616,0.038461538461538464,0.0,0.0,0.0,0.057692307692307696,0.28846153846153844,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.019230769230769232,0.17307692307692307,0.09615384615384616,0.0,0.0,-0.05,0.06,-0.12,-0.16,-0.07,-0.03,-0.07,0.47
11.Pink,0.0,0.0,0.3404255319148936,0.0,0.24822695035460993,0.0070921985815602835,0.0,0.0,0.014184397163120567,0.05673758865248227,0.3333333333333333,0.02127659574468085,0.2765957446808511,0.0,0.0,0.03546099290780142,0.0070921985815602835,0.425531914893617,0.10638297872340426,0.0,0.0,0.02,0.06,0.03,-0.04,0.03,0.05,0.0,0.04
11.Green,0.0,0.0,0.15517241379310345,0.0,0.06896551724137931,0.008620689655172414,0.0,0.0,0.0,0.15517241379310345,0.13793103448275862,0.0,0.04310344827586207,0.0,0.0,0.034482758620689655,0.0,0.1724137931034483,0.13793103448275862,0.0,0.0,0.03,-0.03,-0.09,-0.06,-0.08,-0.12,-0.09,-0.07
12.Blue,0.0,0.0,0.16363636363636364,0.0,0.09090909090909091,0.05454545454545454,0.0,0.0,0.0,0.03636363636363636,0.36363636363636365,0.0,0.05454545454545454,0.01818181818181818,0.0,0.05454545454545454,0.0,0.2,0.16363636363636364,0.0,0.0,0.08,-0.01,-0.11,-0.04,-0.01,-0.06,0.0,0.0
12.Green,0.0,0.0,0.2777777777777778,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2777777777777778,0.1111111111111111,0.0,0.0,-0.06,-0.03,-0.06,-0.16,-0.08,0.05,-0.15,0.0
12.Pink,0.0,0.0,0.18461538461538463,0.0,0.046153846153846156,0.015384615384615385,0.0,0.0,0.0,0.046153846153846156,0.23076923076923078,0.0,0.046153846153846156,0.0,0.0,0.015384615384615385,0.015384615384615385,0.24615384615384617,0.09230769230769231,0.0,0.0,-0.01,0.09,-0.05,-0.17,0.04,0.1,0.02,-0.02
12.Orange,0.0,0.0,0.08333333333333333,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.3611111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.3611111111111111,0.16666666666666666,0.0,0.0,0.0,0.04,-0.07,-0.14,-0.16,0.0,0.0,0.0
