Group,hash_edge,hedges,factuality,first_person_pl,first_person,first_person_start,second_person,direct_question,direct_start,has_pos,has_neg,article,auxverb,conj,adverb,ppron,ipron,preps,quant,aoa,conc,fam,img,Group_Lead,Group_Sat
0,0.09,0.06,0.02,0.06,0.23,0.01,0.14,0.01,0,0.18,0.06,0.16,0.02,0.05,0.08,0.02,0.07,-0.04,0.02,314.1966667,311.5966667,594.68,331.0433333,3.67,4.87
1,0.16,0.12,0.02,0.07,0.3,0,0.12,0.02,0,0.22,0.07,-0.05,-0.08,0.06,-0.05,0.14,0.03,-0.06,-0.05,270.805,321.96,595.25,342.875,3.5,4.7
2,0.15,0.08,0.01,0.04,0.2,0,0.21,0.02,0.01,0.21,0.08,-0.14,-0.09,-0.13,-0.14,-0.13,-0.11,-0.15,-0.11,270.955,301.865,597.19,318.735,3.5,4.7
3,0.15,0.05,0,0.05,0.15,0,0.06,0.04,0,0.19,0.05,-0.06,-0.02,-0.15,-0.06,0,0.06,-0.07,0,279.6433333,308.6933333,597.5633333,326.8233333,3.33,4.53
4,0.18,0.09,0.02,0.07,0.21,0,0.14,0.04,0,0.28,0.08,-0.01,-0.03,0.01,-0.06,-0.04,0.05,-0.01,0.08,297.3475,296.99,598.41,313.725,3.25,3.9
5,0.1,0.06,0.02,0.08,0.17,0,0.09,0.01,0,0.19,0.09,-0.06,0.06,-0.01,-0.01,0.08,0.06,0.01,0.01,273.9975,304.985,595.8125,324.2475,3.5,4.85
6,0.19,0.11,0.03,0.02,0.35,0,0.11,0.01,0,0.24,0.08,0.01,0.05,0.01,0.01,0.08,0.01,0.03,0.06,282.5633333,316.4433333,596.6866667,332.1333333,2.67,4.27
7,0.1,0.06,0.03,0.1,0.26,0,0.11,0.02,0.01,0.17,0.07,0.11,0.02,-0.07,0.06,0.03,0.04,0.03,-0.06,287.5366667,312.74,597.0133333,332.3466667,3.67,4.53
8,0.05,0.03,0.02,0.04,0.28,0.01,0.11,0,0,0.11,0.06,-0.04,0,0.02,0.06,0,0.03,-0.01,-0.04,288.0766667,332.5033333,594.4166667,349.56,2.67,4.27
9,0.13,0.11,0.03,0.09,0.29,0.03,0.07,0.01,0.03,0.22,0.06,-0.01,-0.02,-0.08,-0.09,-0.08,-0.04,-0.04,0.22,266.12,306.12,595.41,330.145,3.5,4.42
10,0.26,0.17,0.01,0.1,0.25,0.01,0.17,0.04,0.01,0.31,0.12,0.03,0.01,-0.03,-0.05,-0.03,-0.04,-0.04,-0.01,304.08,296.76,598.745,320.16,4.5,3.3
11,0.17,0.07,0.03,0.03,0.3,0,0.07,0.02,0.01,0.26,0.13,0,0.03,-0.09,-0.15,-0.04,0.04,-0.03,-0.01,269.7925,306.435,596.215,326.675,3.5,4.6
